label,referenceUrl,url
IP-PE-1,https://yssofindia.org/event/monastic-tour-madurai-july-2022,https://test.yssofindia.org/event/monastic-tour-madurai-july-2022
IP-PE-2,https://yssofindia.org/event/retreat-noida-july-2022,https://test.yssofindia.org/event/retreat-noida-july-2022
IP-PE-3,https://yssofindia.org/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2022,https://test.yssofindia.org/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2022
IP-PE-4,https://yssofindia.org/event/monastic-tour-nayagarh-july-2022,https://test.yssofindia.org/event/monastic-tour-nayagarh-july-2022
IP-PE-5,https://yssofindia.org/event/monastic-tour-rourkela-august-2022,https://test.yssofindia.org/event/monastic-tour-rourkela-august-2022
IP-PE-6,https://yssofindia.org/event/monastic-tour-puducherry-august-2022,https://test.yssofindia.org/event/monastic-tour-puducherry-august-2022
IP-PE-7,https://yssofindia.org/event/monastic-tour-bilaspur-august-2022,https://test.yssofindia.org/event/monastic-tour-bilaspur-august-2022
IP-PE-8,https://yssofindia.org/event/retreat-noida-august-2022,https://test.yssofindia.org/event/retreat-noida-august-2022
IP-PE-9,https://yssofindia.org/event/retreat-dakshineswar-august-2022,https://test.yssofindia.org/event/retreat-dakshineswar-august-2022
IP-PE-10,https://yssofindia.org/event/monastic-tour-chittoor-august-2022,https://test.yssofindia.org/event/monastic-tour-chittoor-august-2022
IP-PE-11,https://yssofindia.org/event/monastic-tour-chennai-july-2022,https://test.yssofindia.org/event/monastic-tour-chennai-july-2022
IP-PE-12,https://yssofindia.org/ta/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2022,https://test.yssofindia.org/ta/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2022
IP-PE-13,https://yssofindia.org/hi/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2022,https://test.yssofindia.org/hi/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2022
IP-PE-14,https://yssofindia.org/event/monastic-tour-visakhapatnam-september-2022,https://test.yssofindia.org/event/monastic-tour-visakhapatnam-september-2022
IP-PE-15,https://yssofindia.org/event/monastic-tour-belagavi-september-2022,https://test.yssofindia.org/event/monastic-tour-belagavi-september-2022
IP-PE-16,https://yssofindia.org/event/monastic-tour-mangaluru-september-2022,https://test.yssofindia.org/event/monastic-tour-mangaluru-september-2022
IP-PE-17,https://yssofindia.org/event/monastic-tour-mysuru-september-2022,https://test.yssofindia.org/event/monastic-tour-mysuru-september-2022
IP-PE-18,https://yssofindia.org/event/retreat-dakshineswar-september-2022,https://test.yssofindia.org/event/retreat-dakshineswar-september-2022
IP-PE-19,https://yssofindia.org/event/monastic-tour-dwarahat-september-2022,https://test.yssofindia.org/event/monastic-tour-dwarahat-september-2022
IP-PE-20,https://yssofindia.org/event/monastic-tour-jaipur-september-2022,https://test.yssofindia.org/event/monastic-tour-jaipur-september-2022
IP-PE-21,https://yssofindia.org/event/monastic-tour-chandigarh-october-2022,https://test.yssofindia.org/event/monastic-tour-chandigarh-october-2022
IP-PE-22,https://yssofindia.org/event/retreat-dihika-october-2022,https://test.yssofindia.org/event/retreat-dihika-october-2022
IP-PE-23,https://yssofindia.org/event/monastic-tour-jammu-october-2022,https://test.yssofindia.org/event/monastic-tour-jammu-october-2022
IP-PE-24,https://yssofindia.org/event/monastic-tour-ahmedabad-november-2022,https://test.yssofindia.org/event/monastic-tour-ahmedabad-november-2022
IP-PE-25,https://yssofindia.org/event/monastic-tour-pathankot-november-2022,https://test.yssofindia.org/event/monastic-tour-pathankot-november-2022
IP-PE-26,https://yssofindia.org/event/monastic-tour-indore-november-2022,https://test.yssofindia.org/event/monastic-tour-indore-november-2022
IP-PE-27,https://yssofindia.org/event/monastic-tour-jalandhar-november-2022,https://test.yssofindia.org/event/monastic-tour-jalandhar-november-2022
IP-PE-28,https://yssofindia.org/event/monastic-tour-mumbai-november-2022,https://test.yssofindia.org/event/monastic-tour-mumbai-november-2022
IP-PE-29,https://yssofindia.org/event/monastic-tour-thiruvananthapuram-december-2022,https://test.yssofindia.org/event/monastic-tour-thiruvananthapuram-december-2022
IP-PE-30,https://yssofindia.org/event/kriya-yoga-diksha-ceremony-noida-december-2022,https://test.yssofindia.org/event/kriya-yoga-diksha-ceremony-noida-december-2022
IP-PE-31,https://yssofindia.org/event/retreat-puri-december-2022,https://test.yssofindia.org/event/retreat-puri-december-2022
IP-PE-32,https://yssofindia.org/event/sadhana-sangam-noida-september-2022,https://test.yssofindia.org/event/sadhana-sangam-noida-september-2022
IP-PE-33,https://yssofindia.org/te/event/retreat-puri-december-2022,https://test.yssofindia.org/te/event/retreat-puri-december-2022
IP-PE-34,https://yssofindia.org/te/event/retreat-dakshineswar-september-2022,https://test.yssofindia.org/te/event/retreat-dakshineswar-september-2022
IP-PE-35,https://yssofindia.org/te/event/retreat-dihika-october-2022,https://test.yssofindia.org/te/event/retreat-dihika-october-2022
IP-PE-36,https://yssofindia.org/ta/event/retreat-dihika-october-2022,https://test.yssofindia.org/ta/event/retreat-dihika-october-2022
IP-PE-37,https://yssofindia.org/ta/event/retreat-puri-december-2022,https://test.yssofindia.org/ta/event/retreat-puri-december-2022
IP-PE-38,https://yssofindia.org/event/monastic-tour-ludhiana-march-2023,https://test.yssofindia.org/event/monastic-tour-ludhiana-march-2023
IP-PE-39,https://yssofindia.org/event/monastic-tour-dehradun-march-2023,https://test.yssofindia.org/event/monastic-tour-dehradun-march-2023
IP-PE-40,https://yssofindia.org/event/retreat-noida-march-2023,https://test.yssofindia.org/event/retreat-noida-march-2023
IP-PE-41,https://yssofindia.org/event/retreat-dwarahat-april-2023,https://test.yssofindia.org/event/retreat-dwarahat-april-2023
IP-PE-42,https://yssofindia.org/event/monastic-tour-guwahati-april-2023,https://test.yssofindia.org/event/monastic-tour-guwahati-april-2023
IP-PE-43,https://yssofindia.org/event/monastic-tour-brahmapur-april-2023,https://test.yssofindia.org/event/monastic-tour-brahmapur-april-2023
IP-PE-44,https://yssofindia.org/event/monastic-tour-sambalpur-april-2023,https://test.yssofindia.org/event/monastic-tour-sambalpur-april-2023
IP-PE-45,https://yssofindia.org/event/monastic-tour-muzaffarpur-april-2023,https://test.yssofindia.org/event/monastic-tour-muzaffarpur-april-2023
IP-PE-46,https://yssofindia.org/event/monastic-tour-kopundole-april-2023,https://test.yssofindia.org/event/monastic-tour-kopundole-april-2023
IP-PE-47,https://yssofindia.org/event/monastic-tour-pokhara-april-2023,https://test.yssofindia.org/event/monastic-tour-pokhara-april-2023
IP-PE-48,https://yssofindia.org/event/monastic-tour-kullu-may-2023,https://test.yssofindia.org/event/monastic-tour-kullu-may-2023
IP-PE-49,https://yssofindia.org/event/monastic-tour-shimla-may-2023,https://test.yssofindia.org/event/monastic-tour-shimla-may-2023
IP-PE-50,https://yssofindia.org/te/event/retreat-noida-march-2023,https://test.yssofindia.org/te/event/retreat-noida-march-2023
IP-PE-51,https://yssofindia.org/te/event/retreat-dwarahat-april-2023,https://test.yssofindia.org/te/event/retreat-dwarahat-april-2023
IP-PE-52,https://yssofindia.org/ta/event/retreat-noida-march-2023,https://test.yssofindia.org/ta/event/retreat-noida-march-2023
IP-PE-53,https://yssofindia.org/ta/event/retreat-dwarahat-april-2023,https://test.yssofindia.org/ta/event/retreat-dwarahat-april-2023
IP-PE-54,https://yssofindia.org/ta/event/monastic-tour-guwahati-april-2023,https://test.yssofindia.org/ta/event/monastic-tour-guwahati-april-2023
IP-PE-55,https://yssofindia.org/ta/event/monastic-tour-brahmapur-april-2023,https://test.yssofindia.org/ta/event/monastic-tour-brahmapur-april-2023
IP-PE-56,https://yssofindia.org/ta/event/monastic-tour-sambalpur-april-2023,https://test.yssofindia.org/ta/event/monastic-tour-sambalpur-april-2023
IP-PE-57,https://yssofindia.org/ta/event/monastic-tour-kopundole-april-2023,https://test.yssofindia.org/ta/event/monastic-tour-kopundole-april-2023
IP-PE-58,https://yssofindia.org/ta/event/monastic-tour-kullu-may-2023,https://test.yssofindia.org/ta/event/monastic-tour-kullu-may-2023
IP-PE-59,https://yssofindia.org/ta/event/monastic-tour-shimla-may-2023,https://test.yssofindia.org/ta/event/monastic-tour-shimla-may-2023
IP-PE-60,https://yssofindia.org/ta/event/monastic-tour-pokhara-april-2023,https://test.yssofindia.org/ta/event/monastic-tour-pokhara-april-2023
IP-PE-61,https://yssofindia.org/ta/event/monastic-tour-muzaffarpur-april-2023,https://test.yssofindia.org/ta/event/monastic-tour-muzaffarpur-april-2023
IP-PE-62,https://yssofindia.org/hi/event/retreat-noida-march-2023,https://test.yssofindia.org/hi/event/retreat-noida-march-2023
IP-PE-63,https://yssofindia.org/hi/event/retreat-dwarahat-april-2023,https://test.yssofindia.org/hi/event/retreat-dwarahat-april-2023
IP-PE-64,https://yssofindia.org/te/event/monastic-tour-sambalpur-april-2023,https://test.yssofindia.org/te/event/monastic-tour-sambalpur-april-2023
IP-PE-65,https://yssofindia.org/te/event/monastic-tour-muzaffarpur-april-2023,https://test.yssofindia.org/te/event/monastic-tour-muzaffarpur-april-2023
IP-PE-66,https://yssofindia.org/te/event/monastic-tour-kopundole-april-2023,https://test.yssofindia.org/te/event/monastic-tour-kopundole-april-2023
IP-PE-67,https://yssofindia.org/te/event/monastic-tour-pokhara-april-2023,https://test.yssofindia.org/te/event/monastic-tour-pokhara-april-2023
IP-PE-68,https://yssofindia.org/te/event/monastic-tour-kullu-may-2023,https://test.yssofindia.org/te/event/monastic-tour-kullu-may-2023
IP-PE-69,https://yssofindia.org/te/event/monastic-tour-shimla-may-2023,https://test.yssofindia.org/te/event/monastic-tour-shimla-may-2023
IP-PE-70,https://yssofindia.org/hi/event/monastic-tour-muzaffarpur-april-2023,https://test.yssofindia.org/hi/event/monastic-tour-muzaffarpur-april-2023
IP-PE-71,https://yssofindia.org/hi/event/monastic-tour-kopundole-april-2023,https://test.yssofindia.org/hi/event/monastic-tour-kopundole-april-2023
IP-PE-72,https://yssofindia.org/hi/event/monastic-tour-pokhara-april-2023,https://test.yssofindia.org/hi/event/monastic-tour-pokhara-april-2023
IP-PE-73,https://yssofindia.org/hi/event/monastic-tour-kullu-may-2023,https://test.yssofindia.org/hi/event/monastic-tour-kullu-may-2023
IP-PE-74,https://yssofindia.org/hi/event/monastic-tour-shimla-may-2023,https://test.yssofindia.org/hi/event/monastic-tour-shimla-may-2023
IP-PE-75,https://yssofindia.org/event/monastic-tour-vizianagaram-july-2023,https://test.yssofindia.org/event/monastic-tour-vizianagaram-july-2023
IP-PE-76,https://yssofindia.org/event/monastic-tour-tuni-july-2023,https://test.yssofindia.org/event/monastic-tour-tuni-july-2023
IP-PE-77,https://yssofindia.org/event/monastic-tour-vijayawada-july-2023,https://test.yssofindia.org/event/monastic-tour-vijayawada-july-2023
IP-PE-78,https://yssofindia.org/event/monastic-tour-anantapur-july-2023,https://test.yssofindia.org/event/monastic-tour-anantapur-july-2023
IP-PE-79,https://yssofindia.org/event/monastic-tour-vellore-july-2023,https://test.yssofindia.org/event/monastic-tour-vellore-july-2023
IP-PE-80,https://yssofindia.org/event/monastic-tour-coimbatore-july-2023,https://test.yssofindia.org/event/monastic-tour-coimbatore-july-2023
IP-PE-81,https://yssofindia.org/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2023,https://test.yssofindia.org/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2023
IP-PE-82,https://yssofindia.org/event/monastic-tour-thanjavur-july-2023,https://test.yssofindia.org/event/monastic-tour-thanjavur-july-2023
IP-PE-83,https://yssofindia.org/event/retreat-noida-august-2023,https://test.yssofindia.org/event/retreat-noida-august-2023
IP-PE-84,https://yssofindia.org/event/monastic-tour-prayagraj-august-2023,https://test.yssofindia.org/event/monastic-tour-prayagraj-august-2023
IP-PE-85,https://yssofindia.org/event/monastic-tour-kanpur-august-2023,https://test.yssofindia.org/event/monastic-tour-kanpur-august-2023
IP-PE-86,https://yssofindia.org/event/monastic-tour-bijainagar-august-2023,https://test.yssofindia.org/event/monastic-tour-bijainagar-august-2023
IP-PE-87,https://yssofindia.org/event/monastic-tour-hissar-august-2023,https://test.yssofindia.org/event/monastic-tour-hissar-august-2023
IP-PE-88,https://yssofindia.org/te/event/monastic-tour-vizianagaram-july-2023,https://test.yssofindia.org/te/event/monastic-tour-vizianagaram-july-2023
IP-PE-89,https://yssofindia.org/te/event/monastic-tour-anantapur-july-2023,https://test.yssofindia.org/te/event/monastic-tour-anantapur-july-2023
IP-PE-90,https://yssofindia.org/te/event/retreat-noida-august-2023,https://test.yssofindia.org/te/event/retreat-noida-august-2023
IP-PE-91,https://yssofindia.org/te/event/monastic-tour-tuni-july-2023,https://test.yssofindia.org/te/event/monastic-tour-tuni-july-2023
IP-PE-92,https://yssofindia.org/te/event/monastic-tour-vijayawada-july-2023,https://test.yssofindia.org/te/event/monastic-tour-vijayawada-july-2023
